Location;Year;Description;Archive;Link / Item Identifier
Berlin;1910;Criminal Court;bpk Bildagentur;https://www.bpk-bildagentur.de/shop, Image No. 20045508
London;1910;Wages Pick up;Historic England;https://historicengland.org.uk/images-books/photos/item/BB87/09666
Berlin;1919;Tobacco Shop;bpk Bildagentur;https://www.bpk-bildagentur.de/shop, Image No. 30041140 
Berlin;1923;Bakery;bpk Bildagentur;https://www.bpk-bildagentur.de/shop, Image No. 20040076
Berlin;1932;Job Centre;bpk Bildagentur;https://www.bpk-bildagentur.de/shop, Image No. 50088842 
Berlin;1938;Cabaret;bpk Bildagentur;https://www.bpk-bildagentur.de/shop, Image No. 30050790 
London;1943;Hospital Canteen;Historic England;https://historicengland.org.uk/images-books/photos/item/MED01/01/3749
Kassel, GE;1946;Ticket Office, Central Station;bpk Bildagentur;https://www.bpk-bildagentur.de/shop, Image No. 70108846 
London;1947;Tobacco Shop;Mary Evans Picture Library ;https://www.maryevans.com/contributors/jst/queue-tobacconists-london-1940s-46051892.html
Cologne;1948;Grocery Store;Deutsche Digitale Bibliothek;https://www.deutsche-digitale-bibliothek.de/item/P6JO3G3CBVD5E3BTKDSUWNGN4XJ2CXFB
Totton, UK;1953;Woolworth Shop;Historic England;https://historicengland.org.uk/images-books/photos/item/FWW01/01/0795/001
Fawley, UK;1954;Mobile Canteen;Historic England;https://historicengland.org.uk/images-books/photos/item/JLP01/08/022423A
Berlin (West);1955;Football Stadium;bpk Bildagentur;https://www.bpk-bildagentur.de/shop, Image No. 70124405 
Stockport UK;1955;Grocery Store;Mary Evans Picture Library ;https://www.maryevans.com/contributors/hgp/queueing-eggs-46532800.html
Berkeley, UK;1957;Mobile Canteen;Historic England;https://historicengland.org.uk/images-books/photos/item/JLP01/01/073/62
Berlin (West);1962;Public Vaccination;bpk Bildagentur;https://www.bpk-bildagentur.de/shop, Image No. 30044196
Kiel, GE;1968;Pensions Office;Fotoarchiv Kiel;https://fotoarchiv-stadtarchiv.kiel.de, Image No. 42.559
San Francisco;1972;Bus Stop;Alamy;https://www.alamy.com, Image No. C2EENA
St Albans, UK;1972;Post Office;Historic England;https://historicengland.org.uk/images-books/photos/item/AA076128
Kiel, GE;1973;Central Bank;Fotoarchiv Kiel;https://fotoarchiv-stadtarchiv.kiel.de, Image No. 54.896
London;1973;Bus Stop;Gettyimages;https://www.gettyimages.de, Image No. 56398087
Baltimore;1975;Welfare Office;Gettyimages;https://www.gettyimages.de, Image No. 2211321353
Frankfurt a.M.;1976;Job Centre;bpk Bildagentur;https://www.bpk-bildagentur.de/shop, Image No. 70242922
New Jersey;1982;Job Centre;Gettyimages;https://www.gettyimages.de, Image No. 167061285
London;1984;Restaurant;Historic England;https://historicengland.org.uk/images-books/photos/item/DD002227
Frankfurt a.M.;1988;Ticket Office, Central Station;Bundesarchiv;https://www.bild.bundesarchiv.de, Image No. B 145 Bild-F078981-0032
Berlin (West);1988;Public Concert;Bundesarchiv;https://www.bild.bundesarchiv.de, Image No. B 145 Bild-F079006-0009
Swindon, UK;1994;Football Ground;Historic England;https://historicengland.org.uk/images-books/photos/item/FGE01/01/090/002
Berlin;2002;Open House Chancellery;Bundesarchiv;https://www.bild.bundesarchiv.de, Image No. B 145 Bild-00013662
Munich;2009;Job Centre;Gettyimages;https://www.gettyimages.de, Image No. 94942157
Berlin;2013;Cultural Festival 'Berlinale';Gettyimages;https://www.gettyimages.de, Image No. 73151967
London;2015;Waterloo Station;Gettyimages;https://www.gettyimages.de, Image No. 480016390
London;2017;Polling Station;Gettyimages;https://www.gettyimages.de, Image No. 693707430
Berlin;2018;Open House Chancellery;Gettyimages;https://www.gettyimages.de, Image No. 1023852466
Berlin;2019;Open House Presidential Palace;Bundesarchiv;https://www.bild.bundesarchiv.de, Image No. B 145 Bild-00435195
